Movie,Year,RunTime,imdb,Genre,votes
Tenkû no shiro Rapyuta,(1986),125 min,8.0,"Animation, Adventure, Drama","147,590"
Ying xiong,(2002),120 min,7.9,"Action, Adventure, History","172,947"
The Killing,(1956),84 min,8.0,"Crime, Drama, Film-Noir","80,632"
Lucky Number Slevin,(2006),110 min,7.7,"Action, Crime, Drama","298,052"
Papurika,(2006),90 min,7.7,"Animation, Drama, Fantasy","69,826"
Victoria,(II) (2015),138 min,7.6,"Crime, Drama, Romance","51,819"
Dilwale Dulhania Le Jayenge,(1995),189 min,8.1,"Drama, Romance","62,732"
In the Heat of the Night,(1967),110 min,7.9,"Crime, Drama, Mystery","66,886"
Short Term 12,(2013),96 min,8.0,Drama,"80,690"
The Man Who Shot Liberty Valance,(1962),123 min,8.1,"Drama, Western","67,938"
Perfetti sconosciuti,(2016),96 min,7.8,"Comedy, Drama","55,615"
Being There,(1979),130 min,8.0,"Comedy, Drama","64,858"
Mary and Max,(2009),92 min,8.1,"Animation, Comedy, Drama","162,661"
Der Himmel über Berlin,(1987),128 min,8.0,"Drama, Fantasy, Romance","63,790"
PK,(2014),153 min,8.1,"Comedy, Drama, Musical","159,767"
Frankenstein,(1931),70 min,7.8,"Drama, Horror, Sci-Fi","64,587"
The Maltese Falcon,(1941),100 min,8.0,"Film-Noir, Mystery","147,670"
Ray,(I) (2004),152 min,7.7,"Biography, Drama, Music","137,099"
The Muppet Christmas Carol,(1992),85 min,7.7,"Comedy, Drama, Family","46,763"
What Ever Happened to Baby Jane?,(1962),134 min,8.1,"Drama, Horror, Thriller","49,512"
Zulu,(1964),138 min,7.7,"Drama, History, War","35,499"
Delicatessen,(1991),99 min,7.6,"Comedy, Crime","79,746"
My Left Foot: The Story of Christy Brown,(1989),103 min,7.9,"Biography, Drama","67,045"
The Remains of the Day,(1993),134 min,7.8,"Drama, Romance","64,921"
La Vie En Rose,(2007),140 min,7.6,"Biography, Drama, Music","81,996"
Zwartboek,(2006),145 min,7.7,"Drama, Thriller, War","72,092"
Lola rennt,(1998),81 min,7.6,"Crime, Drama, Thriller","187,108"
K.G.F: Chapter 1,(2018),156 min,8.2,"Action, Drama","33,516"
In a Lonely Place,(1950),94 min,8.0,"Drama, Film-Noir, Mystery","26,065"
Kubo and the Two Strings,(2016),101 min,7.8,"Animation, Action, Adventure","116,457"
Mommy,(I) (2014),139 min,8.1,Drama,"49,618"
Kaze tachinu,(2013),126 min,7.8,"Animation, Biography, Drama","71,795"
Song of the Sea,(2014),93 min,8.1,"Animation, Adventure, Drama","50,126"
Yôjinbô,(1961),110 min,8.2,"Action, Drama, Thriller","109,410"
Blowup,(1966),111 min,7.6,"Drama, Mystery, Thriller","55,715"
The Hurricane,(1999),146 min,7.6,"Biography, Drama, Sport","90,730"
The Manchurian Candidate,(1962),126 min,7.9,"Drama, Thriller","70,638"
Rashômon,(1950),88 min,8.2,"Crime, Drama, Mystery","150,357"
Sabrina,(1954),113 min,7.7,"Comedy, Drama, Romance","58,418"
Ikiru,(1952),143 min,8.3,Drama,"66,968"
Pink Floyd: The Wall,(1982),95 min,8.1,"Drama, Fantasy, Music","75,389"
The Straight Story,(1999),112 min,8.0,"Biography, Drama","80,873"
Judgment at Nuremberg,(1961),179 min,8.2,"Drama, War","68,438"
The Innocents,(1961),100 min,7.8,Horror,"26,629"
Mr. Smith Goes to Washington,(1939),129 min,8.1,"Comedy, Drama","105,663"
Die Welle,(2008),107 min,7.6,"Drama, Thriller","101,710"
Festen,(1998),105 min,8.0,Drama,"77,142"
Mysterious Skin,(2004),105 min,7.6,Drama,"65,494"
Manhattan,(1979),96 min,7.9,"Comedy, Drama, Romance","130,256"
Drishyam,(2015),163 min,8.2,"Crime, Drama, Mystery","68,032"
Harold and Maude,(1971),91 min,7.9,"Comedy, Drama, Romance","70,102"
Once Were Warriors,(1994),102 min,7.9,"Crime, Drama","31,244"
Ladri di biciclette,(1948),89 min,8.3,Drama,"143,918"
Touch of Evil,(1958),95 min,8.0,"Crime, Drama, Film-Noir","97,627"
Smultronstället,(1957),91 min,8.2,"Drama, Romance","94,502"
Zerkalo,(1975),107 min,8.1,"Biography, Drama","39,014"
Kari-gurashi no Arietti,(2010),94 min,7.6,"Animation, Adventure, Family","79,179"
Amour,(2012),127 min,7.9,"Drama, Romance","92,038"
Notorious,(1946),102 min,7.9,"Drama, Film-Noir, Romance","91,340"
Nebraska,(2013),115 min,7.7,"Adventure, Comedy, Drama","111,410"
The Quiet Man,(1952),129 min,7.7,"Comedy, Drama, Romance","34,197"
The Killing Fields,(1984),141 min,7.8,"Biography, Drama, History","51,053"
Pride,(I) (2014),119 min,7.8,"Biography, Comedy, Drama","51,120"
Strangers on a Train,(1951),101 min,7.9,"Crime, Film-Noir, Thriller","122,212"
Hamlet,(1996),242 min,7.7,Drama,"35,754"
Breaking the Waves,(1996),159 min,7.8,Drama,"61,720"
Thank You for Smoking,(2005),92 min,7.6,"Comedy, Drama","211,886"
The Muppet Movie,(1979),95 min,7.6,"Adventure, Comedy, Family","32,300"
Bacheha-Ye aseman,(1997),89 min,8.3,"Drama, Family, Sport","63,809"
Ajeossi,(2010),119 min,7.8,"Action, Crime, Drama","61,845"
Paper Moon,(1973),102 min,8.1,"Comedy, Crime, Drama","41,735"
Trois couleurs: Rouge,(1994),99 min,8.1,"Drama, Mystery, Romance","89,166"
The Big Sleep,(1946),114 min,7.9,"Crime, Film-Noir, Mystery","78,094"
The Treasure of the Sierra Madre,(1948),126 min,8.2,"Adventure, Drama, Western","112,873"
Tengoku to jigoku,(1963),143 min,8.4,"Crime, Drama, Mystery","32,855"
Anatomy of a Murder,(1959),161 min,8.0,"Crime, Drama, Mystery","59,123"
Baahubali 2: The Conclusion,(2017),167 min,8.2,"Action, Drama","73,757"
"South Park: Bigger, Longer & Uncut",(1999),81 min,7.7,"Animation, Comedy, Fantasy","190,996"
Stalag 17,(1953),120 min,8.0,"Comedy, Drama, War","50,693"
Huo Yuan Jia,(2006),104 min,7.6,"Action, Biography, Drama","72,447"
Le samouraï,(1967),105 min,8.1,"Crime, Drama, Mystery","44,665"
Loving Vincent,(2017),94 min,7.8,"Animation, Biography, Crime","49,558"
Chugyeokja,(2008),125 min,7.8,"Action, Crime, Thriller","57,307"
Le locataire,(1976),126 min,7.7,"Drama, Thriller","39,216"
Repulsion,(1965),105 min,7.7,"Drama, Horror, Thriller","48,366"
Once,(I) (2007),86 min,7.8,"Drama, Music, Romance","109,862"
It Happened One Night,(1934),105 min,8.1,"Comedy, Romance","92,578"
Waking Life,(2001),99 min,7.8,"Animation, Drama, Fantasy","60,274"
Belle de jour,(1967),100 min,7.7,"Drama, Romance","39,642"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),87 min,8.1,"Animation, Action, Drama","37,572"
The Philadelphia Story,(1940),112 min,7.9,"Comedy, Romance","62,704"
Happiness,(1998),134 min,7.7,"Comedy, Drama","65,901"
Un long dimanche de fiançailles,(2004),133 min,7.6,"Drama, Mystery, Romance","70,519"
Tôkyô monogatari,(1953),136 min,8.2,Drama,"51,836"
The Invisible Man,(1933),71 min,7.7,"Horror, Sci-Fi","30,110"
The Day of the Jackal,(1973),143 min,7.8,"Crime, Drama, Thriller","36,957"
Dead Man's Shoes,(2004),90 min,7.6,"Crime, Drama, Thriller","48,934"
Short Cuts,(1993),188 min,7.7,"Comedy, Drama","41,938"
La double vie de Véronique,(1991),98 min,7.8,"Drama, Fantasy, Music","41,398"
East of Eden,(1955),118 min,7.9,Drama,"39,828"
Andrei Rublev,(1966),205 min,8.1,"Biography, Drama, History","45,810"
The Day the Earth Stood Still,(1951),92 min,7.7,"Drama, Sci-Fi","75,794"
La leggenda del pianista sull'oceano,(1998),169 min,8.1,"Drama, Music, Romance","58,203"
City Lights,(1931),87 min,8.5,"Comedy, Drama, Romance","165,210"
The Night of the Hunter,(1955),92 min,8.0,"Crime, Drama, Film-Noir","80,985"
"Aguirre, der Zorn Gottes",(1972),95 min,7.9,"Action, Adventure, Biography","51,659"
Mimi wo sumaseba,(1995),111 min,7.9,"Animation, Drama, Family","50,363"
Who's Afraid of Virginia Woolf?,(1966),131 min,8.0,Drama,"68,377"
Watership Down,(1978),91 min,7.6,"Animation, Adventure, Drama","33,335"
The Secret of NIMH,(1982),82 min,7.6,"Animation, Adventure, Drama","35,840"
Guess Who's Coming to Dinner,(1967),108 min,7.8,"Comedy, Drama","39,009"
Vikram Vedha,(2017),147 min,8.5,"Action, Crime, Drama","26,127"
Stagecoach,(1939),96 min,7.8,"Adventure, Drama, Western","42,921"
Mandariinid,(2013),87 min,8.2,"Drama, War","38,745"
Les quatre cents coups,(1959),99 min,8.1,"Crime, Drama","103,454"
Todo sobre mi madre,(1999),101 min,7.8,Drama,"88,117"
Under sandet,(2015),100 min,7.8,"Drama, History, War","34,673"
Do lok tin si,(1995),99 min,7.7,"Comedy, Crime, Drama","25,394"
Philomena,(2013),98 min,7.6,"Biography, Comedy, Drama","93,447"
The Kid,(1921),68 min,8.3,"Comedy, Drama, Family","111,195"
Spoorloos,(1988),107 min,7.7,"Mystery, Thriller","33,510"
The Red Shoes,(1948),135 min,8.1,"Drama, Music, Romance","30,414"
Mou gaan dou,(2002),101 min,8.0,"Action, Crime, Drama","117,077"
Boksuneun naui geot,(2002),129 min,7.6,"Crime, Drama, Thriller","61,834"
Withnail & I,(1987),107 min,7.7,"Comedy, Drama","39,806"
The Lion in Winter,(1968),134 min,7.9,"Biography, Drama, History","28,682"
A Man for All Seasons,(1966),120 min,7.7,"Biography, Drama, History","30,877"
Bin-jip,(2004),88 min,8.0,"Crime, Drama, Romance","49,469"
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,(2003),103 min,8.0,"Drama, Romance","76,339"
Le scaphandre et le papillon,(2007),112 min,8.0,"Biography, Drama","102,576"
The Message,(1976),177 min,8.2,"Biography, Drama, History","43,410"
All Quiet on the Western Front,(1930),152 min,8.0,"Drama, War","56,809"
Joyeux Noël,(2005),116 min,7.7,"Drama, History, Music","27,323"
Control,(2007),122 min,7.7,"Biography, Drama, Music","61,093"
Fitzcarraldo,(1982),158 min,8.1,"Adventure, Drama","31,055"
The Taking of Pelham One Two Three,(1974),104 min,7.7,"Action, Crime, Thriller","26,163"
Shadow of a Doubt,(1943),108 min,7.8,"Film-Noir, Thriller","58,726"
Das Cabinet des Dr. Caligari,(1920),76 min,8.1,"Fantasy, Horror, Mystery","56,612"
Hannah and Her Sisters,(1986),107 min,7.9,"Comedy, Drama","66,451"
The Verdict,(1982),129 min,7.7,Drama,"35,579"
Hable con ella,(2002),112 min,7.9,"Drama, Mystery, Romance","103,718"
Das weiße Band - Eine deutsche Kindergeschichte,(2009),144 min,7.8,"Drama, History, Mystery","67,980"
On Golden Pond,(1981),109 min,7.6,Drama,"27,312"
The Station Agent,(2003),89 min,7.6,"Comedy, Drama","66,977"
Les yeux sans visage,(1960),90 min,7.7,"Drama, Horror","27,116"
Night on Earth,(1991),129 min,7.8,"Comedy, Drama","54,596"
Underground,(1995),170 min,8.1,"Comedy, Drama, War","54,616"
Kurenai no buta,(1992),94 min,7.7,"Animation, Adventure, Comedy","75,890"
The Long Goodbye,(1973),112 min,7.6,"Comedy, Crime, Drama","25,725"
Out of the Past,(1947),97 min,8.0,"Crime, Drama, Film-Noir","32,308"
Cat on a Hot Tin Roof,(1958),108 min,8.0,Drama,"44,460"
La battaglia di Algeri,(1966),121 min,8.1,"Drama, War","52,081"
"I, Daniel Blake",(2016),100 min,7.9,Drama,"52,544"
The Grapes of Wrath,(1940),129 min,8.0,"Drama, History","85,066"
His Girl Friday,(1940),92 min,7.9,"Comedy, Drama, Romance","52,872"
Un prophète,(2009),155 min,7.9,"Crime, Drama","92,711"
The Odd Couple,(1968),105 min,7.7,Comedy,"31,227"
The African Queen,(1951),105 min,7.7,"Adventure, Drama, Romance","70,765"
The Bride of Frankenstein,(1935),75 min,7.8,"Drama, Horror, Sci-Fi","43,043"
Omoide no Mânî,(2014),103 min,7.7,"Animation, Drama, Family","31,648"
Gilda,(1946),110 min,7.7,"Drama, Film-Noir, Romance","27,584"
Laura,(1944),88 min,8.0,"Drama, Film-Noir, Mystery","42,201"
Lilja 4-ever,(2002),109 min,7.8,"Crime, Drama","42,258"
Leviafan,(2014),140 min,7.6,"Crime, Drama","48,661"
Invasion of the Body Snatchers,(1956),80 min,7.7,"Drama, Horror, Sci-Fi","44,424"
Kaguyahime no monogatari,(2013),137 min,8.0,"Animation, Adventure, Drama","37,462"
Secrets & Lies,(1996),136 min,8.0,"Comedy, Drama","36,968"
Cape Fear,(1962),106 min,7.7,"Drama, Thriller","26,080"
The Broken Circle Breakdown,(2012),111 min,7.8,"Drama, Music, Romance","38,983"
Nelyubov,(2017),127 min,7.6,Drama,"29,092"
Il conformista,(1970),113 min,8.0,Drama,"26,572"
The Secret of Kells,(2009),71 min,7.6,"Animation, Adventure, Family","30,837"
Tropa de Elite,(2007),115 min,8.1,"Action, Crime, Drama","97,283"
Trois couleurs: Blanc,(1994),92 min,7.6,"Comedy, Drama, Romance","62,973"
Lagaan: Once Upon a Time in India,(2001),224 min,8.1,"Adventure, Drama, Musical","103,702"
Du rififi chez les hommes,(1955),118 min,8.2,"Crime, Drama, Thriller","27,654"
No Man's Land,(I) (2001),98 min,7.9,"Comedy, Drama, War","44,257"
Gully Boy,(2019),153 min,8.1,"Drama, Music","30,742"
Ivanovo detstvo,(1962),95 min,8.1,"Drama, War","30,926"
Bir Zamanlar Anadolu'da,(2011),157 min,7.9,"Crime, Drama","40,668"
Forushande,(2016),124 min,7.8,"Drama, Thriller","49,896"
Amarcord,(1973),123 min,7.9,"Comedy, Drama","39,339"
Ondskan,(2003),113 min,7.8,Drama,"35,354"
Mar adentro,(I) (2004),126 min,8.0,"Biography, Drama","76,889"
Bringing Up Baby,(1938),102 min,7.9,"Comedy, Family, Romance","54,425"
Hedwig and the Angry Inch,(2001),95 min,7.7,"Comedy, Drama, Music","31,715"
Ayla: The Daughter of War,(2017),125 min,8.4,"Biography, Drama, History","33,007"
Rockstar,(2011),159 min,7.7,"Drama, Music, Musical","38,831"
Les diaboliques,(1955),117 min,8.0,"Crime, Drama, Horror","60,979"
Le salaire de la peur,(1953),131 min,8.1,"Adventure, Drama, Thriller","53,728"
Mustang,(2015),97 min,7.6,Drama,"35,144"
The Adventures of Robin Hood,(1938),102 min,7.9,"Action, Adventure, Romance","46,742"
Eskiya,(1996),128 min,8.2,"Crime, Drama, Thriller","62,941"
Efter brylluppet,(2006),120 min,7.7,Drama,"31,664"
Diarios de motocicleta,(2004),126 min,7.8,"Adventure, Biography, Drama","95,967"
Down by Law,(1986),107 min,7.8,"Comedy, Crime, Drama","47,332"
Vozvrashchenie,(2003),110 min,8.0,Drama,"41,860"
The World's Fastest Indian,(2005),127 min,7.8,"Biography, Drama, Sport","51,586"
Kakushi-toride no san-akunin,(1958),139 min,8.1,"Adventure, Drama","34,036"
Brief Encounter,(1945),86 min,8.0,"Drama, Romance","35,010"
Death Note: Desu nôto,(2006),126 min,7.7,"Crime, Drama, Fantasy","28,411"
Das Experiment,(2001),120 min,7.7,"Drama, Thriller","90,360"
Adams æbler,(2005),94 min,7.8,"Comedy, Crime, Drama","45,003"
Arsenic and Old Lace,(1944),118 min,8.0,"Comedy, Crime, Thriller","64,567"
The Ladykillers,(1955),91 min,7.7,"Comedy, Crime","25,937"
The Thin Man,(1934),91 min,8.0,"Comedy, Crime, Mystery","26,067"
Gegen die Wand,(2004),121 min,7.9,"Drama, Romance","50,771"
Kagemusha,(1980),180 min,8.0,"Drama, History, War","31,735"
Hævnen,(2010),118 min,7.6,"Drama, Romance","38,236"
Kal Ho Naa Ho,(2003),186 min,8.0,"Comedy, Drama, Musical","62,637"
Ôkami kodomo no Ame to Yuki,(2012),117 min,8.1,"Animation, Drama, Family","38,015"
Jeux d'enfants,(2003),93 min,7.6,"Comedy, Drama, Romance","66,862"
Chhichhore,(2019),143 min,8.2,"Comedy, Drama","31,614"
Shine,(1996),105 min,7.7,"Biography, Drama, Music","50,895"
Crimes and Misdemeanors,(1989),104 min,7.9,"Comedy, Drama","54,085"
Red River,(1948),133 min,7.8,"Action, Adventure, Drama","27,760"
To Be or Not to Be,(1942),99 min,8.2,"Comedy, War","28,782"
The 39 Steps,(1935),86 min,7.6,"Mystery, Thriller","51,158"
Giù la testa,(1971),157 min,7.6,"Drama, War, Western","29,705"
Les choristes,(2004),97 min,7.9,"Drama, Music","56,782"
Darbareye Elly,(2009),119 min,8.0,"Drama, Mystery, Thriller","44,653"
To Have and Have Not,(1944),100 min,7.8,"Adventure, Comedy, Film-Noir","30,639"
Kumonosu-jô,(1957),110 min,8.1,"Drama, History","45,861"
L'avventura,(1960),144 min,7.9,"Drama, Mystery","26,081"
Wait Until Dark,(1967),108 min,7.8,Thriller,"27,453"
Okuribito,(2008),130 min,8.1,"Drama, Music","48,094"
Rang De Basanti,(2006),167 min,8.2,"Comedy, Drama","110,390"
Jûbê ninpûchô,(1993),94 min,7.9,"Animation, Action, Adventure","34,171"
Gongdong gyeongbi guyeok JSA,(2000),110 min,7.8,"Action, Drama, Thriller","26,035"
Sholay,(1975),204 min,8.2,"Action, Adventure, Comedy","50,716"
Cowboy Bebop: Tengoku no tobira,(2001),115 min,7.9,"Animation, Action, Crime","42,417"
Viskningar och rop,(1972),91 min,8.1,Drama,"29,628"
Zindagi Na Milegi Dobara,(2011),155 min,8.1,"Comedy, Drama","66,661"
The Lady Vanishes,(1938),96 min,7.8,"Mystery, Thriller","46,750"
Omohide poro poro,(1991),118 min,7.6,"Animation, Drama, Romance","26,228"
"4 luni, 3 saptamâni si 2 zile",(2007),113 min,7.9,Drama,"56,013"
Vivre sa vie: Film en douze tableaux,(1962),80 min,8.0,Drama,"27,383"
Sweet Smell of Success,(1957),96 min,8.1,"Drama, Film-Noir","27,644"
Le charme discret de la bourgeoisie,(1972),102 min,7.9,Comedy,"37,961"
My Name Is Khan,(2010),165 min,8.0,Drama,"97,495"
Babam ve Oglum,(2005),112 min,8.3,"Drama, Family","77,376"
La passion de Jeanne d'Arc,(1928),110 min,8.1,"Biography, Drama, History","46,699"
The Circus,(1928),72 min,8.1,"Comedy, Romance","29,133"
Sleuth,(1972),138 min,8.0,"Mystery, Thriller","44,409"
Jab We Met,(2007),138 min,7.9,"Comedy, Drama, Romance","47,065"
Persepolis,(2007),96 min,8.0,"Animation, Biography, Drama","87,779"
Key Largo,(1948),100 min,7.8,"Action, Crime, Drama","36,641"
Kokuhaku,(2010),106 min,7.8,"Drama, Thriller","35,282"
Celda 211,(2009),113 min,7.6,"Action, Adventure, Crime","63,350"
The Lunchbox,(2013),104 min,7.8,"Drama, Romance","49,708"
"Crna macka, beli macor",(1998),127 min,8.1,"Comedy, Crime, Romance","50,286"
La Strada,(1954),108 min,8.0,Drama,"57,611"
Duck Soup,(1933),69 min,7.8,"Comedy, Musical, War","55,176"
The Gold Rush,(1925),95 min,8.2,"Adventure, Comedy, Drama","99,250"
Toki o kakeru shôjo,(2006),98 min,7.7,"Animation, Adventure, Comedy","59,474"
Batman: Mask of the Phantasm,(1993),76 min,7.8,"Animation, Action, Crime","43,083"
The General,(1926),67 min,8.1,"Action, Adventure, Comedy","79,881"
Bronenosets Potemkin,(1925),75 min,8.0,"Drama, History, Thriller","52,428"
Dà hóng denglong gaogao guà,(1991),125 min,8.1,"Drama, History, Romance","29,172"
Rupan sansei: Kariosutoro no shiro,(1979),100 min,7.7,"Animation, Adventure, Family","26,414"
Uri: The Surgical Strike,(2018),138 min,8.3,"Action, Drama, War","42,276"
Inherit the Wind,(1960),128 min,8.1,"Biography, Drama, History","26,978"
Interstate 60: Episodes of the Road,(2002),116 min,7.7,"Adventure, Comedy, Drama","29,671"
Ace in the Hole,(1951),111 min,8.1,"Drama, Film-Noir","31,050"
Au revoir les enfants,(1987),104 min,8.0,"Drama, War","30,809"
M.S. Dhoni: The Untold Story,(2016),184 min,7.8,"Biography, Drama, Sport","38,737"
The Shop Around the Corner,(1940),99 min,8.1,"Comedy, Drama, Romance","27,209"
Lat sau san taam,(1992),128 min,7.8,"Action, Crime, Thriller","46,299"
Harvey,(1950),104 min,7.9,"Comedy, Drama, Fantasy","52,246"
Tôkyô goddofâzâzu,(2003),90 min,7.8,"Animation, Adventure, Comedy","30,426"
The Purple Rose of Cairo,(1985),82 min,7.7,"Comedy, Fantasy, Romance","46,615"
The Lost Weekend,(1945),101 min,7.9,"Drama, Film-Noir","33,146"
Sunrise: A Song of Two Humans,(1927),94 min,8.1,"Drama, Romance","46,462"
Barfi!,(2012),151 min,8.1,"Comedy, Drama, Romance","74,816"
The Magdalene Sisters,(2002),114 min,7.7,Drama,"25,752"
G.O.R.A.,(2004),127 min,8.0,"Adventure, Comedy, Sci-Fi","55,882"
Hera Pheri,(2000),156 min,8.2,"Action, Comedy, Crime","55,989"
Il postino,(1994),108 min,7.7,"Biography, Comedy, Drama","33,204"
Talvar,(2015),132 min,8.2,"Crime, Drama, Mystery","30,548"
Munna Bhai M.B.B.S.,(2003),156 min,8.1,"Comedy, Drama, Musical","72,892"
Anand,(1971),122 min,8.4,"Drama, Musical","29,259"
Jungfrukällan,(1960),89 min,8.1,Drama,"26,342"
Pink,(III) (2016),136 min,8.1,"Drama, Thriller","38,361"
Yeopgijeogin geunyeo,(2001),137 min,8.0,"Comedy, Drama, Romance","45,033"
In America,(2002),105 min,7.7,Drama,"40,244"
Veer-Zaara,(2004),192 min,7.8,"Drama, Family, Musical","48,386"
Bhaag Milkha Bhaag,(2013),186 min,8.2,"Biography, Drama, Sport","60,258"
El ángel exterminador,(1962),95 min,8.1,"Drama, Fantasy","29,256"
The Visitor,(I) (2007),104 min,7.6,Drama,"41,354"
Queen,(2013),146 min,8.2,"Adventure, Comedy, Drama","60,079"
Le notti di Cabiria,(1957),110 min,8.1,Drama,"42,338"
Jules et Jim,(1962),105 min,7.8,"Drama, Romance","37,001"
Badhaai ho,(2018),124 min,8.0,"Comedy, Drama","27,085"
Le passé,(2013),130 min,7.8,"Drama, Mystery","44,543"
Love and Death,(1975),85 min,7.7,"Comedy, War","35,625"
"Swades: We, the People",(2004),210 min,8.2,Drama,"82,109"
Les triplettes de Belleville,(2003),80 min,7.8,"Animation, Comedy, Drama","50,234"
Knockin' on Heaven's Door,(1997),87 min,8.0,"Action, Crime, Comedy","27,360"
Kai po che!,(2013),130 min,7.7,"Drama, Sport","31,549"
Tropa de Elite 2: O Inimigo Agora é Outro,(2010),115 min,8.0,"Action, Crime, Drama","78,673"
Haider,(2014),160 min,8.1,"Action, Crime, Drama","49,887"
Dil Chahta Hai,(2001),183 min,8.1,"Comedy, Drama, Romance","66,034"
Sanjuro,(1962),96 min,8.1,"Action, Comedy, Crime","32,272"
Sherlock Jr.,(1924),45 min,8.2,"Action, Comedy, Romance","40,814"
Hiroshima mon amour,(1959),90 min,7.9,"Drama, Romance","27,913"
Lifeboat,(1944),97 min,7.6,"Drama, War","26,180"
White Heat,(1949),114 min,8.1,"Action, Crime, Drama","29,338"
Hana-bi,(1997),103 min,7.8,"Crime, Drama, Romance","27,339"
La Grande Illusion,(1937),113 min,8.1,"Drama, War","33,482"
Baby,(I) (2015),159 min,8.0,"Action, Thriller","52,271"
Dip huet seung hung,(1989),111 min,7.8,"Action, Crime, Drama","45,300"
Central do Brasil,(1998),110 min,8.0,Drama,"35,895"
Bajrangi Bhaijaan,(2015),163 min,8.0,"Action, Adventure, Comedy","70,978"
Vampire Hunter D: Bloodlust,(2000),103 min,7.7,"Animation, Action, Fantasy","28,938"
Zelig,(1983),79 min,7.7,Comedy,"39,537"
Nueve reinas,(2000),114 min,7.9,"Crime, Drama, Thriller","49,247"
Kahaani,(2012),122 min,8.1,"Mystery, Thriller","57,089"
La règle du jeu,(1939),110 min,8.0,"Comedy, Drama","26,395"
C.R.A.Z.Y.,(2005),129 min,7.9,"Comedy, Drama","31,312"
English Vinglish,(2012),134 min,7.8,"Comedy, Drama, Family","33,140"
Taegukgi hwinalrimyeo,(2004),140 min,8.1,"Action, Drama, War","37,575"
Udaan,(2010),134 min,8.2,Drama,"41,929"
Chak De! India,(2007),153 min,8.2,"Drama, Family, Sport","73,114"
A Night at the Opera,(1935),96 min,7.9,"Comedy, Music, Musical","30,246"
Andaz Apna Apna,(1994),160 min,8.2,"Comedy, Romance","48,782"
A Wednesday,(2008),104 min,8.1,"Action, Crime, Drama","73,229"
Udta Punjab,(2016),148 min,7.8,"Action, Crime, Drama","26,711"
Kind Hearts and Coronets,(1949),106 min,8.0,"Comedy, Crime","34,085"
Drishyam,(2013),160 min,8.3,"Crime, Drama, Thriller","30,199"
OMG: Oh My God!,(2012),125 min,8.1,"Comedy, Drama, Fantasy","50,715"
Special Chabbis,(2013),144 min,8.0,"Crime, Drama, Thriller","50,322"
Black,(2005),122 min,8.2,Drama,"33,109"
Auf der anderen Seite,(2007),122 min,7.8,Drama,"30,551"
Airlift,(2016),130 min,8.0,"Drama, History","52,383"
Le dîner de cons,(1998),80 min,7.7,Comedy,"36,951"
Dev.D,(2009),144 min,8.0,"Drama, Romance","28,449"
Paan Singh Tomar,(2012),135 min,8.2,"Action, Biography, Crime","32,790"
Vicky Donor,(2012),126 min,7.8,"Comedy, Romance","39,259"
Vizontele,(2001),110 min,8.0,"Comedy, Drama","32,790"
Lage Raho Munna Bhai,(2006),144 min,8.1,"Comedy, Drama, Romance","42,483"
Nefes: Vatan Sagolsun,(2009),128 min,8.0,"Action, Drama, Thriller","31,493"
